penalty,score,MR_Z_BUY,MR_Z_SELL,final_pnl,pnl_spread,day_0_pnl,day_1_pnl,day_2_pnl
0.5,12777.0,3.5,5.5,19670.0,13786.0,928.0,14714.0,4028.0
0.5,12596.5,1.25,6.0,19684.0,14175.0,-1296.0,12879.0,8101.0
0.5,5030.0,6.5,7.0,6768.0,3476.0,104.0,3580.0,3084.0
0.5,4858.5,6.5,7.5,6445.0,3173.0,104.0,3277.0,3064.0
0.5,12301.0,4.25,5.25,17678.0,10754.0,1530.0,12284.0,3864.0
0.5,13492.0,3.75,5.0,20068.0,13152.0,1444.0,14596.0,4028.0
0.5,10526.0,5.0,5.0,14544.0,8036.0,1630.0,9666.0,3248.0
0.5,13249.5,2.0,6.75,19991.0,13483.0,-450.0,13033.0,7408.0
0.5,12953.0,4.0,4.75,18836.0,11766.0,1500.0,13266.0,4070.0
0.5,20010.0,2.0,4.0,25307.0,10594.0,3632.0,14226.0,7449.0
0.5,14199.5,2.75,4.75,20751.0,13103.0,1239.0,14342.0,5170.0
0.5,19368.5,2.5,4.0,24742.0,10747.0,3740.0,14487.0,6515.0
0.5,17143.5,2.0,4.25,23192.0,12097.0,1811.0,13908.0,7473.0
0.5,16534.5,2.0,4.5,22757.0,12445.0,1421.0,13866.0,7470.0
0.5,16002.0,2.25,4.5,22188.0,12372.0,1490.0,13862.0,6836.0
0.5,19477.5,2.25,4.0,24738.0,10521.0,3701.0,14222.0,6815.0
0.5,19477.5,2.25,4.0,24738.0,10521.0,3701.0,14222.0,6815.0
0.5,21223.5,1.75,3.75,26474.0,10501.0,4145.0,14646.0,7683.0
0.5,19477.5,2.25,4.0,24738.0,10521.0,3701.0,14222.0,6815.0
0.5,11313.0,2.75,7.5,18062.0,13498.0,-262.0,13236.0,5088.0
0.5,19477.5,2.25,4.0,24738.0,10521.0,3701.0,14222.0,6815.0
0.5,17143.5,2.0,4.25,23192.0,12097.0,1811.0,13908.0,7473.0
0.5,17143.5,2.0,4.25,23192.0,12097.0,1811.0,13908.0,7473.0
0.5,14791.5,3.25,4.25,21012.0,12441.0,2249.0,14690.0,4073.0
0.5,14791.5,3.25,4.25,21012.0,12441.0,2249.0,14690.0,4073.0
0.5,14791.5,3.25,4.25,21012.0,12441.0,2249.0,14690.0,4073.0
0.5,14791.5,3.25,4.25,21012.0,12441.0,2249.0,14690.0,4073.0
0.5,14791.5,3.25,4.25,21012.0,12441.0,2249.0,14690.0,4073.0
0.5,17309.5,3.0,4.0,22778.0,10937.0,3839.0,14776.0,4163.0
0.5,14791.5,3.25,4.25,21012.0,12441.0,2249.0,14690.0,4073.0
0.5,15378.5,2.75,4.25,21586.0,12415.0,1999.0,14414.0,5173.0
0.5,19478.5,2.75,3.75,24818.0,10679.0,4483.0,15162.0,5173.0
0.5,18385.5,3.0,3.75,23895.0,11019.0,4502.0,15206.0,4187.0
0.5,19249.0,3.0,3.5,24764.0,11030.0,5118.0,15338.0,4308.0
0.5,20570.5,1.25,3.75,26097.0,11053.0,3449.0,14502.0,8146.0
0.5,20874.0,1.0,3.5,26461.0,11174.0,3460.0,14634.0,8367.0
0.5,22989.0,1.25,3.25,28095.0,10212.0,4707.0,14919.0,8469.0
0.5,19763.0,1.0,3.75,25592.0,11658.0,2844.0,14502.0,8246.0
0.5,21681.5,1.25,3.5,26966.0,10569.0,4065.0,14634.0,8267.0
0.5,20874.0,1.0,3.5,26461.0,11174.0,3460.0,14634.0,8367.0
0.5,22181.5,1.0,3.25,27590.0,10817.0,4102.0,14919.0,8569.0
0.5,19249.0,3.0,3.5,24764.0,11030.0,5118.0,15338.0,4308.0
0.5,20874.0,1.0,3.5,26461.0,11174.0,3460.0,14634.0,8367.0
0.5,21681.5,1.25,3.5,26966.0,10569.0,4065.0,14634.0,8267.0
0.5,22181.5,1.0,3.25,27590.0,10817.0,4102.0,14919.0,8569.0
0.5,20874.0,1.0,3.5,26461.0,11174.0,3460.0,14634.0,8367.0
0.5,20874.0,1.0,3.5,26461.0,11174.0,3460.0,14634.0,8367.0
0.5,20874.0,1.0,3.5,26461.0,11174.0,3460.0,14634.0,8367.0
0.5,22181.5,1.0,3.25,27590.0,10817.0,4102.0,14919.0,8569.0
0.5,21681.5,1.25,3.5,26966.0,10569.0,4065.0,14634.0,8267.0
0.5,21681.5,1.25,3.5,26966.0,10569.0,4065.0,14634.0,8267.0
0.5,21681.5,1.25,3.5,26966.0,10569.0,4065.0,14634.0,8267.0
0.5,20874.0,1.0,3.5,26461.0,11174.0,3460.0,14634.0,8367.0
0.5,21681.5,1.25,3.5,26966.0,10569.0,4065.0,14634.0,8267.0
0.5,20874.0,1.0,3.5,26461.0,11174.0,3460.0,14634.0,8367.0
0.5,22872.0,1.0,3.0,28153.0,10562.0,4402.0,14964.0,8787.0
0.5,24613.5,1.25,2.75,29244.0,9261.0,5637.0,14898.0,8709.0
0.5,23679.5,1.25,3.0,28658.0,9957.0,5007.0,14964.0,8687.0
0.5,22181.5,1.0,3.25,27590.0,10817.0,4102.0,14919.0,8569.0
0.5,23774.5,1.5,3.0,28671.0,9793.0,5237.0,15030.0,8404.0
0.5,22181.5,1.0,3.25,27590.0,10817.0,4102.0,14919.0,8569.0
0.5,23774.5,1.5,3.0,28671.0,9793.0,5237.0,15030.0,8404.0
0.5,23774.5,1.5,3.0,28671.0,9793.0,5237.0,15030.0,8404.0
0.5,23084.0,1.5,3.25,28108.0,10048.0,4937.0,14985.0,8186.0
0.5,23084.0,1.5,3.25,28108.0,10048.0,4937.0,14985.0,8186.0
0.5,23774.5,1.5,3.0,28671.0,9793.0,5237.0,15030.0,8404.0
1.0,-inf,,,,,,,
1.0,-inf,,,,,,,
1.0,-inf,,,,,,,
1.0,-inf,,,,,,,
1.0,-inf,,,,,,,
1.0,-inf,,,,,,,
1.0,-inf,,,,,,,
1.0,-inf,,,,,,,
1.0,15567.0,2.25,3.75,25855.0,10288.0,4364.0,14652.0,6839.0
1.0,-inf,,,,,,,
1.0,3562.0,4.5,6.5,13328.0,9766.0,29.0,9795.0,3504.0
1.0,5992.0,2.25,7.5,19099.0,13107.0,-381.0,12726.0,6754.0
1.0,6438.0,1.75,6.0,20061.0,13623.0,-600.0,13023.0,7638.0
1.0,3382.0,5.5,7.0,10697.0,7315.0,149.0,7464.0,3084.0
1.0,15044.0,1.25,3.75,26097.0,11053.0,3449.0,14502.0,8146.0
1.0,7070.0,4.0,4.75,18836.0,11766.0,1500.0,13266.0,4070.0
1.0,6924.0,4.25,5.25,17678.0,10754.0,1530.0,12284.0,3864.0
1.0,3272.0,5.75,8.0,9689.0,6417.0,104.0,6521.0,3064.0
1.0,19720.0,2.0,3.0,28985.0,9265.0,5853.0,15118.0,8014.0
1.0,5686.0,1.5,6.25,19697.0,14011.0,-1066.0,12945.0,7818.0
1.0,-inf,,,,,,,
1.0,-inf,,,,,,,
1.0,3616.0,3.0,7.25,17227.0,13611.0,-243.0,13368.0,4102.0
1.0,13737.0,3.25,3.5,25113.0,11376.0,5349.0,15570.0,4194.0
1.0,3382.0,5.25,7.75,10908.0,7526.0,159.0,7685.0,3064.0
1.0,8511.0,3.5,4.25,21072.0,12561.0,2219.0,14780.0,4073.0
1.0,4004.0,3.25,6.0,17831.0,13827.0,-12.0,13815.0,4028.0
1.0,6658.0,3.0,5.0,19792.0,13134.0,1258.0,14392.0,4142.0
1.0,21716.0,2.0,2.5,30083.0,8367.0,6829.0,15196.0,8058.0
1.0,7788.0,3.25,4.5,20577.0,12789.0,1859.0,14648.0,4070.0
1.0,15973.0,1.75,3.75,26474.0,10501.0,4145.0,14646.0,7683.0
1.0,3616.0,3.0,7.5,17139.0,13523.0,-243.0,13280.0,4102.0
1.0,9440.0,1.75,5.25,22371.0,12931.0,901.0,13832.0,7638.0
1.0,8489.0,4.25,4.25,18549.0,10060.0,2290.0,12350.0,3909.0
1.0,5469.0,1.25,7.75,19209.0,13740.0,-1296.0,12444.0,8061.0
1.0,5469.0,1.25,8.0,19209.0,13740.0,-1296.0,12444.0,8061.0
1.0,5469.0,1.25,7.75,19209.0,13740.0,-1296.0,12444.0,8061.0
1.0,6339.0,1.0,5.5,20958.0,14619.0,-931.0,13688.0,8201.0
1.0,4399.0,1.0,6.0,19179.0,14780.0,-1901.0,12879.0,8201.0
1.0,22617.0,1.25,2.0,31226.0,8609.0,7010.0,15619.0,8597.0
1.0,15044.0,1.25,3.75,26097.0,11053.0,3449.0,14502.0,8146.0
1.0,21507.0,1.0,2.0,30721.0,9214.0,6405.0,15619.0,8697.0
1.0,13934.0,1.0,3.75,25592.0,11658.0,2844.0,14502.0,8246.0
1.0,15567.0,2.25,3.75,25855.0,10288.0,4364.0,14652.0,6839.0
1.0,12584.0,1.0,4.0,24475.0,11891.0,2181.0,14072.0,8222.0
1.0,9034.0,2.25,5.25,21752.0,12718.0,1120.0,13838.0,6794.0
1.0,13694.0,1.25,4.0,24980.0,11286.0,2786.0,14072.0,8122.0
1.0,7972.0,2.25,5.5,21221.0,13249.0,589.0,13838.0,6794.0
